Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,70,0.9,0.2,0.50275172677272
100% Corpus,70,0.9,0.5,0.520087815476499
100% Corpus,70,0.9,0.7,0.4023775956240894
100% Corpus,70,0.9,0.9,0.4418153440104833
100% Corpus,70,0.9,1.5,0.5182299734433922
100% Corpus,70,1.5,0.15,0.46252915729539756
100% Corpus,70,1.5,0.2,0.46533125550903187
100% Corpus,70,1.5,0.5,0.43290712187124364
100% Corpus,70,1.5,0.7,0.3825142274083835
100% Corpus,70,1.5,0.9,0.32086507313472
100% Corpus,70,1.5,1.5,0.3230226582450184
100% Corpus,70,1.75,0.15,0.45710981053866967
100% Corpus,70,1.75,0.2,0.44371824741879856
100% Corpus,70,1.75,0.5,0.5062640834554251
100% Corpus,70,1.75,0.7,0.4851085210498466
100% Corpus,70,1.75,0.9,0.42871315951831834
100% Corpus,70,1.75,1.5,0.29899644979665996
100% Corpus,80,0.15,0.15,0.4837700366863752
100% Corpus,80,0.15,0.2,0.5124791289717316
100% Corpus,80,0.15,0.5,0.5505526309298335
100% Corpus,80,0.15,0.7,0.5929947014469633
100% Corpus,80,0.15,0.9,0.5608747479596513
100% Corpus,80,0.15,1.5,0.6005494542081097
100% Corpus,80,0.2,0.15,0.4727072936503861
100% Corpus,80,0.2,0.2,0.5040028574245539
100% Corpus,80,0.2,0.5,0.5628596536831854
100% Corpus,80,0.2,0.7,0.5728119423373008
100% Corpus,80,0.2,0.9,0.5918269816311448
100% Corpus,80,0.2,1.5,0.5877095915673115
100% Corpus,80,0.5,0.15,0.5863759699716338
100% Corpus,80,0.5,0.2,0.5729494407930655
100% Corpus,80,0.5,0.5,0.6947281067524279
100% Corpus,80,0.5,0.7,0.7196995418543535
100% Corpus,80,0.5,0.9,0.6826494172050112
100% Corpus,80,0.5,1.5,0.5445001232153517
100% Corpus,80,0.6,0.15,0.5388826407877889
100% Corpus,80,0.6,0.2,0.5863623395288341
100% Corpus,80,0.6,0.5,0.6348939709883067
100% Corpus,80,0.6,0.7,0.6153696416414388
100% Corpus,80,0.6,0.9,0.5911530762203219
100% Corpus,80,0.6,1.5,0.5702153495690778
100% Corpus,80,0.7,0.15,0.5134588547377167
100% Corpus,80,0.7,0.2,0.5439678316276307
100% Corpus,80,0.7,0.5,0.5822695529053193
100% Corpus,80,0.7,0.7,0.5092852613851442
100% Corpus,80,0.7,0.9,0.509285261385144
100% Corpus,80,0.7,1.5,0.5092852613851445
100% Corpus,80,0.9,0.15,0.49335323302536366
100% Corpus,80,0.9,0.2,0.5018091801222757
100% Corpus,80,0.9,0.5,0.5221272122852175
100% Corpus,80,0.9,0.7,0.3718485228015692
100% Corpus,80,0.9,0.9,0.44170379978476826
100% Corpus,80,0.9,1.5,0.4805898021066513
100% Corpus,80,1.5,0.15,0.46858738349637596
100% Corpus,80,1.5,0.2,0.468912286150765
100% Corpus,80,1.5,0.5,0.43879365659630415
100% Corpus,80,1.5,0.7,0.44423244747242185
100% Corpus,80,1.5,0.9,0.30925682058176246
100% Corpus,80,1.5,1.5,0.32263225634934295
100% Corpus,80,1.75,0.15,0.45564206262089024
100% Corpus,80,1.75,0.2,0.44962593621118996
100% Corpus,80,1.75,0.5,0.49442523465001836
100% Corpus,80,1.75,0.7,0.499980233659881
100% Corpus,80,1.75,0.9,0.4506000058327019
100% Corpus,80,1.75,1.5,0.3357342042248998
100% Corpus,90,0.15,0.15,0.5003936781721005
100% Corpus,90,0.15,0.2,0.518440961903883
100% Corpus,90,0.15,0.5,0.5595987819121941
100% Corpus,90,0.15,0.7,0.5775644239071723
100% Corpus,90,0.15,0.9,0.5942977649331278
100% Corpus,90,0.15,1.5,0.612710064732831
100% Corpus,90,0.2,0.15,0.4704231089274535
100% Corpus,90,0.2,0.2,0.5071970468484465
100% Corpus,90,0.2,0.5,0.5647131380450972
100% Corpus,90,0.2,0.7,0.5724605628269976
100% Corpus,90,0.2,0.9,0.5827572374192518
100% Corpus,90,0.2,1.5,0.5465717365630152
100% Corpus,90,0.5,0.15,0.5803600042732651
100% Corpus,90,0.5,0.2,0.6614517070412131
100% Corpus,90,0.5,0.5,0.7159357254993955
100% Corpus,90,0.5,0.7,0.6893484711421028
100% Corpus,90,0.5,0.9,0.544203242148862
100% Corpus,90,0.5,1.5,0.5443869941560542
100% Corpus,90,0.6,0.15,0.5526649517406633
100% Corpus,90,0.6,0.2,0.6004630975096383
100% Corpus,90,0.6,0.5,0.5682084360473395
100% Corpus,90,0.6,0.7,0.5912765154884163
100% Corpus,90,0.6,0.9,0.5783901741773616
100% Corpus,90,0.6,1.5,0.54953451409617
100% Corpus,90,0.7,0.15,0.511852435055049
100% Corpus,90,0.7,0.2,0.5359536008265195
100% Corpus,90,0.7,0.5,0.5035953697990018
100% Corpus,90,0.7,0.7,0.509293556047282
100% Corpus,90,0.7,0.9,0.5092935560472818
100% Corpus,90,0.7,1.5,0.5182777744638056
100% Corpus,90,0.9,0.15,0.5013894682355315
100% Corpus,90,0.9,0.2,0.4958016406527031
100% Corpus,90,0.9,0.5,0.3187086475603201
100% Corpus,90,0.9,0.7,0.3224748159029398
100% Corpus,90,0.9,0.9,0.37606848027343553
100% Corpus,90,0.9,1.5,0.43720197221819235
100% Corpus,90,1.5,0.15,0.46806164058338695
100% Corpus,90,1.5,0.2,0.481717277541057
100% Corpus,90,1.5,0.5,0.4541049588100133
100% Corpus,90,1.5,0.7,0.46124509777843803
100% Corpus,90,1.5,0.9,0.3418094816601026
100% Corpus,90,1.5,1.5,0.3132015367526768
100% Corpus,90,1.75,0.15,0.45696239864558685
100% Corpus,90,1.75,0.2,0.4628089133557068
100% Corpus,90,1.75,0.5,0.49199034217521165
100% Corpus,90,1.75,0.7,0.4977439010293439
100% Corpus,90,1.75,0.9,0.43238388589564547
100% Corpus,90,1.75,1.5,0.33532768747831354
